trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,1,-146.9986991764616,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 2}",1
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-112.20621053172593,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-121.21428985560416,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",20,14,-8.761055846945379,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-102.26658231961403,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",25,0,-205.78189439324098,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",25,0,-66.64624152796027,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-85.52133651691902,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-85.83562832831335,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,0,-73.9853041643557,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,5,-33.69944373183024,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,2,-21.34385863842339,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,13,7.764422122333932,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-52.112585959034384,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,6,-17.13186277299299,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",25,13,-14.702831916187563,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,13,13.489839254670251,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,14,10.727613035728092,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,31.639780179488458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,18,14.211448259476214,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",30,22,19.535103773797605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",30,9,35.44028130951524,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,10,-28.401890851358633,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'e': 0, 'a': 0}",20,0,6.257298694241914,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",30,8,22.583641884057304,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",30,18,23.872848075524356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,7,24.220002285392983,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",30,11,-22.425271693747785,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'e': 0, 'a': 0}",20,8,7.294729548718655,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,5,-2.4787767020034224,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
