trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.9999500004166653, 'a': 0.7}",25,0,-166.55169436782722,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
2,False,"{'e': 0.9998000066665778, 'a': 0.7}",25,0,-87.13814066312636,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
3,False,"{'e': 0.9995500337489875, 'a': 0.7}",20,0,-105.2730354700389,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'e': 0.9992001066609779, 'a': 0.7}",25,7,-33.199486674100285,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
5,False,"{'e': 0.9987502603949663, 'a': 0.7}",20,0,-106.8132207989452,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'e': 0.9982005399352042, 'a': 0.7}",25,0,-205.53213911816246,"{0: 10, 1: 1, 2: 9, 3: 4, 4: 1}",0
7,False,"{'e': 0.9975510002532796, 'a': 0.7}",20,0,-151.69022656753458,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,False,"{'e': 0.9968017063026194, 'a': 0.7}",25,0,-83.25246891492891,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'e': 0.9959527330119943, 'a': 0.7}",25,2,-101.43979852885984,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 1}",1
10,False,"{'e': 0.9950041652780258, 'a': 0.7}",25,0,-208.68423744210116,"{0: 10, 1: 5, 2: 5, 3: 3, 4: 2}",0
11,False,"{'e': 0.9939560979566968, 'a': 0.7}",25,3,-90.30519749589061,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 1}",1
12,False,"{'e': 0.9928086358538663, 'a': 0.7}",25,0,-81.49424348121829,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'e': 0.9915618937147881, 'a': 0.7}",25,0,-114.62110005825612,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
14,False,"{'e': 0.9902159962126371, 'a': 0.7}",20,0,-107.69452913091088,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'e': 0.9887710779360422, 'a': 0.7}",25,0,-156.75653102770428,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
16,False,"{'e': 0.9872272833756269, 'a': 0.7}",20,8,-63.44577324568311,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
17,False,"{'e': 0.9855847669095608, 'a': 0.7}",20,9,-95.65714980273651,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
18,False,"{'e': 0.9838436927881214, 'a': 0.7}",25,0,-53.0889339563586,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
19,False,"{'e': 0.9820042351172703, 'a': 0.7}",20,0,-94.46364080325992,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
20,False,"{'e': 0.9800665778412416, 'a': 0.7}",30,8,-81.46554111555213,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",1
21,False,"{'e': 0.9780309147241483, 'a': 0.7}",25,0,-61.7399789176958,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
22,False,"{'e': 0.9758974493306055, 'a': 0.7}",20,0,-134.67970012308504,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
23,False,"{'e': 0.9736663950053749, 'a': 0.7}",25,0,-133.84084770663392,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
24,False,"{'e': 0.9713379748520297, 'a': 0.7}",25,12,-14.898544211993332,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'e': 0.9689124217106447, 'a': 0.7}",20,0,-139.0311104196262,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
26,False,"{'e': 0.9663899781345132, 'a': 0.7}",20,0,-133.43793471613478,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
27,False,"{'e': 0.9637708963658905, 'a': 0.7}",30,0,-216.04726281099204,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
28,False,"{'e': 0.9610554383107709, 'a': 0.7}",20,0,-69.10073280348507,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
29,False,"{'e': 0.9582438755126972, 'a': 0.7}",25,6,-73.63631923122973,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 0}",1
30,False,"{'e': 0.955336489125606, 'a': 0.7}",25,0,-69.69635775072011,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
31,False,"{'e': 0.9523335698857134, 'a': 0.7}",25,0,-145.70903261703205,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
32,False,"{'e': 0.9492354180824408, 'a': 0.7}",25,0,-56.13723097800402,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
33,False,"{'e': 0.946042343528387, 'a': 0.7}",20,9,-41.29719373657553,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
34,False,"{'e': 0.9427546655283462, 'a': 0.7}",25,0,-246.33607631099278,"{0: 10, 1: 0, 2: 10, 3: 2, 4: 3}",0
35,False,"{'e': 0.9393727128473789, 'a': 0.7}",20,0,-170.92483564669894,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
