trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",20,0,-149.80120003370138,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-123.76369843181503,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-105.09400971037964,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
4,False,"{'e': 1.0, 'a': 0.5}",30,0,-114.84284708147632,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-110.79218661025376,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-191.58114633973156,"{0: 9, 1: 4, 2: 10, 3: 0, 4: 2}",0
7,False,"{'e': 1.0, 'a': 0.5}",35,0,-107.69654282411744,"{0: 23, 1: 4, 2: 5, 3: 3, 4: 0}",0
8,False,"{'e': 1.0, 'a': 0.5}",20,0,-169.9443711702538,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-184.79067200259095,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-49.0885948360554,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",25,0,-52.68261852511314,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-95.92234828311614,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'e': 1.0, 'a': 0.5}",30,0,-216.06524146778222,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
14,False,"{'e': 1.0, 'a': 0.5}",30,0,-227.11825732254007,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-82.38523872978449,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
16,False,"{'e': 1.0, 'a': 0.5}",20,0,-137.59298292813185,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",25,0,-113.0839948221957,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
18,False,"{'e': 1.0, 'a': 0.5}",30,0,-88.09646109512346,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,0,-134.08687309672553,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
20,False,"{'e': 1.0, 'a': 0.5}",30,3,-104.32135202433584,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 1}",1
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-43.92147346636832,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-81.40114825784198,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,0,-132.41534377781483,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-96.61120850542125,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,True,"{'e': 1.0, 'a': 0.5}",25,0,-110.56746923294028,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,True,"{'e': 1.0, 'a': 0.5}",35,0,-254.25654468430238,"{0: 16, 1: 6, 2: 8, 3: 2, 4: 3}",0
7,True,"{'e': 1.0, 'a': 0.5}",30,0,-232.9368500370638,"{0: 11, 1: 5, 2: 10, 3: 2, 4: 2}",0
8,True,"{'e': 1.0, 'a': 0.5}",25,0,-162.16505265118727,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
9,True,"{'e': 1.0, 'a': 0.5}",25,9,-114.85245436406053,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 2}",1
10,True,"{'e': 1.0, 'a': 0.5}",25,0,-73.54331393004378,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
